citation,citation_text,adj,pos_adj,neg_adj
Turney (2002),"This focuses on exploiting a search engine corpus to determine the sentiment of an expression, as demonstrated in Turney (2002). method Data set Tr Te Accuracy Precision Recall N/A 36,796 4084 77.5 N/A N/A F 1 N/A Customer feedback Ten-fold cross validation (1 vs 4) Ten-fold cross validation (1, 2 vs 3, 4) Ten-fold cross validation (3 point scale) Ten-fold cross validation (4-point scale) Ten-fold cross validation N/A 36,796 4084 69.5 N/A N/A N/A 5006 N/A N/A 66.3 N/A N/A N/A 5006 N/A N/A 54.6 N/A N/A N/A N/A 135 400 N/A 70.2 82.4 41.9 60.6 59.2 69.4 Ten-fold cross validation: polar/neutral Ten-fold cross validation: +/ /both/neutral 13,183 expressions 13,183 expressions N/A N/A 73.6 75.9 68.6 72.2/ 74.0 77.7 45.3 56.8/ 85.7 89.9 55.7 63.4/ 80.7 82.1 N/A N/A 61.7 65.7 1000( ) N/A 30,000 10,000 >91 <72 657adj(+) N/A N/A 78.1 92.4 N/A 55.3 63.4/ 64.7 72.9/ 28.4 35.2/ 50.1 52.4 N/A 59.3 69.4/ 80.4 83.9/ 9.2 11.2/ 30.2 41.4 N/A 61.2 65.1/ 73.1 77.2/ 14.6 16.1/ 37.7 46.2 N/A N/A N/A N/A N/A N/A K nig and Brill (2006) Assign docs sentiments Pattern-based, SVM, hybrid Movie reviews Five-fold cross validation 1000(+) N/A N/A Hatzivassiloglou and McKeown (1997) Assign adjectives +/ N/A Nonhierarchical clustering NB, ME, SVM Customer feedback WSJ corpus Five-fold cross validation N/A Movie reviews Three-fold cross validation Uniand bigrams Pang, Lee, and Vaithyanathan (2002) Turney (2002) Assign docs sentiments Assign docs sentiments Yi et al.","['tenfold', 'point', 'cross', 'scale', 'fivefold', 'nonhierarchical', 'threefold', 'docs', 'polarneutral', 'mckeown', 'svm', 'patternbased', 'hybrid', 'validation']","(0, [])","(0, [])"
"Turney, 2002","These are Natural Language Processing (NLP) and pattern-based (Hiroshi et al., 2004; K nig & Brill, 2006; Nasukawa & Yi, 2003; Yi et al., 2003), machine learning algorithms, such as Naive Bayes (NB), Maximum Entropy (ME), Support Vector Machine (SVM) (Joachims, 1998), and unsupervised learning (Turney, 2002). Bad expressions co-occur more frequently with the word poor , and good expressions with the word excellent (Turney, 2002).","['poor', 'bad', 'such', 'good', 'unsupervised', 'naive', 'maximum', 'patternbased', 'natural']","(1, ['good'])","(3, ['poor', 'bad', 'naive'])"
"Wilson, Wiebe, & Hoffmann, 2005","Existing work in sentiment analysis Whilst most researchers focus on assigning sentiments to documents, others focus on more speci c tasks: nding the sentiments of words (Hatzivassiloglou & McKeown, 1997), subjective expressions (Kim & Hovy, 2004; Wilson, Wiebe, & Hoffmann, 2005), subjective sentences (Pang & Lee, 2004) and topics (Hiroshi, Tetsuya, & Hideo, 2004; Nasukawa & Yi, 2003; Yi, Nasukawa, Niblack, & Bunescu, 2003).","['more', 'subjective', 'most', 'speci']","(0, [])","(0, [])"
"Witten, & Frank, 2005","Induction rule-based classi er (IRBC) Given the two rule sets generated by the rule-based classi er (RBC) and Statistics Based Classi er (SBC), we applied two existing induction algorithms, ID3 (Quinlan, 1986) and RIPPER (Cohen, 1995) provided by Weka (Witten, & Frank, 2005), to generate two induced rule sets, and built a classi er that could use the two induced rule sets to classify a document collection.","['ripper', 'induced', 'rulebased']","(0, [])","(0, [])"
"Yi et al., 2003","These are Natural Language Processing (NLP) and pattern-based (Hiroshi et al., 2004; K nig & Brill, 2006; Nasukawa & Yi, 2003; Yi et al., 2003), machine learning algorithms, such as Naive Bayes (NB), Maximum Entropy (ME), Support Vector Machine (SVM) (Joachims, 1998), and unsupervised learning (Turney, 2002).","['such', 'unsupervised', 'naive', 'maximum', 'patternbased', 'natural']","(0, [])","(1, ['naive'])"
"Yi, Nasukawa, Niblack, & Bunescu, 2003","Existing work in sentiment analysis Whilst most researchers focus on assigning sentiments to documents, others focus on more speci c tasks: nding the sentiments of words (Hatzivassiloglou & McKeown, 1997), subjective expressions (Kim & Hovy, 2004; Wilson, Wiebe, & Hoffmann, 2005), subjective sentences (Pang & Lee, 2004) and topics (Hiroshi, Tetsuya, & Hideo, 2004; Nasukawa & Yi, 2003; Yi, Nasukawa, Niblack, & Bunescu, 2003).","['more', 'subjective', 'most', 'speci']","(0, [])","(0, [])"
"Yin and Savio, 1996","In contrast, a SVM classi er, like other parametric approaches, such as Naive Bayes (G vert, Lalmas, & Fuhr, 1999), Rocchio (Ittner, Lewis, & Ahn, 1995), and Neural network (Yin and Savio, 1996) classi ers, regards a document collection as a set of signi cant features, each of which is assigned a weight, and each document is represented by a feature set.","['such', 'features', 'other', 'cant', 'parametric', 'naive', 'neural']","(0, [])","(1, ['naive'])"
and 2074,"General inquirer based classi er (GIBC) The rst, simplest rule set was based on 3672 pre-classi ed words found in the General Inquirer Lexicon (Stone, Dunphy, Smith, & Ogilvie, 1966), 1598 of which were pre-classi ed as positive and 2074 of which were pre-classi ed as negative.","['preclassi', 'general', 'positive', 'simplest']","(2, ['positive', 'simplest'])","(0, [])"
and Belew (2000),"Here, the independence of features is assumed, which is not always true, as explained in Lewis (1998) and Belew (2000).","['lewis', 'assumed']","(0, [])","(0, [])"
and Calvo and Ceccatto (2000),"Hence, it is common that macro-averaged performance is lower than micro-averaged performance, as shown in a classi cation performance evaluation conducted by Yang and Liu (1999) and Calvo and Ceccatto (2000).","['classi', 'lower', 'microaveraged', 'macroaveraged', 'common']","(0, [])","(0, [])"
and Church and Hanks (1989),Two examples of the use of this method for measuring the strength of two terms association can be found in Conrad and Utt (1994) and Church and Hanks (1989).,['utt'],"(0, [])","(0, [])"
and Mettrop and Nieuwenhuysen (2001),"The coverage issues are discussed in Bar-Ilan (2001) and Thelwall (2000), and the uctuation issue in Bar-Ilan (1999) and Mettrop and Nieuwenhuysen (2001).","['uctuation', 'nieuwenhuysen', 'barilan']","(0, [])","(0, [])"
and Swan and Allan (2000),"The (cid:2)2 calculation used in this experiment does not approximate the (cid:2)2 value, such as described in Yang and Pedersen (1997) and Swan and Allan (2000).","['cid', 'such']","(0, [])","(0, [])"
and Thelwall (2000),"The coverage issues are discussed in Bar-Ilan (2001) and Thelwall (2000), and the uctuation issue in Bar-Ilan (1999) and Mettrop and Nieuwenhuysen (2001).","['uctuation', 'nieuwenhuysen', 'barilan']","(0, [])","(0, [])"
and Yang (1999),The use of DF in the context of automatic classi cation can be found in Yang and Pedersen (1997) and Yang (1999).,['automatic'],"(0, [])","(0, [])"
"bigrams Pang, Lee, and Vaithyanathan (2002)","method Data set Tr Te Accuracy Precision Recall N/A 36,796 4084 77.5 N/A N/A F 1 N/A Customer feedback Ten-fold cross validation (1 vs 4) Ten-fold cross validation (1, 2 vs 3, 4) Ten-fold cross validation (3 point scale) Ten-fold cross validation (4-point scale) Ten-fold cross validation N/A 36,796 4084 69.5 N/A N/A N/A 5006 N/A N/A 66.3 N/A N/A N/A 5006 N/A N/A 54.6 N/A N/A N/A N/A 135 400 N/A 70.2 82.4 41.9 60.6 59.2 69.4 Ten-fold cross validation: polar/neutral Ten-fold cross validation: +/ /both/neutral 13,183 expressions 13,183 expressions N/A N/A 73.6 75.9 68.6 72.2/ 74.0 77.7 45.3 56.8/ 85.7 89.9 55.7 63.4/ 80.7 82.1 N/A N/A 61.7 65.7 1000( ) N/A 30,000 10,000 >91 <72 657adj(+) N/A N/A 78.1 92.4 N/A 55.3 63.4/ 64.7 72.9/ 28.4 35.2/ 50.1 52.4 N/A 59.3 69.4/ 80.4 83.9/ 9.2 11.2/ 30.2 41.4 N/A 61.2 65.1/ 73.1 77.2/ 14.6 16.1/ 37.7 46.2 N/A N/A N/A N/A N/A N/A K nig and Brill (2006) Assign docs sentiments Pattern-based, SVM, hybrid Movie reviews Five-fold cross validation 1000(+) N/A N/A Hatzivassiloglou and McKeown (1997) Assign adjectives +/ N/A Nonhierarchical clustering NB, ME, SVM Customer feedback WSJ corpus Five-fold cross validation N/A Movie reviews Three-fold cross validation Uniand bigrams Pang, Lee, and Vaithyanathan (2002) Turney (2002) Assign docs sentiments Assign docs sentiments Yi et al.","['tenfold', 'point', 'cross', 'scale', 'fivefold', 'nonhierarchical', 'threefold', 'docs', 'polarneutral', 'mckeown', 'svm', 'patternbased', 'hybrid', 'validation']","(0, [])","(0, [])"
by Dumais and Chen (2000),As observed by Dumais and Chen (2000) and Pang et al.,[],"(0, [])","(0, [])"
by Market-Sentinel (2007),The third data set was proprietary data provided by Market-Sentinel (2007).,"['proprietary', 'third']","(0, [])","(1, ['proprietary'])"
by Thelwall (2008),"The fourth data set was also proprietary, provided by Thelwall (2008), extracted from MySpace (2007), and pre-classi ed by three assessors with kappa ((cid:4)) = 100%, i.e., the three assessors completely agreed with each other.","['preclassi', 'kappa', 'thelwall', 'fourth']","(0, [])","(0, [])"
by Yang and Liu (1999),"Hence, it is common that macro-averaged performance is lower than micro-averaged performance, as shown in a classi cation performance evaluation conducted by Yang and Liu (1999) and Calvo and Ceccatto (2000).","['classi', 'lower', 'microaveraged', 'macroaveraged', 'common']","(0, [])","(0, [])"
code NEST-2003,Acknowledgements The work was supported by a European Union grant for activity code NEST-2003-Path-1 and the Future & Emerging Technologies scheme.,['european'],"(0, [])","(0, [])"
"extraction, Choi, Cardie, Riloff, and Patwardhan (2005)","Instead of carrying out a sentiment classi cation or an opinion extraction, Choi, Cardie, Riloff, and Patwardhan (2005) focus on extracting the sources of opinions, e.g., the persons or organizations who play a crucial role in in uencing other individuals opinions.","['other', 'crucial']","(0, [])","(0, [])"
from MySpace (2007),"The fourth data set was also proprietary, provided by Thelwall (2008), extracted from MySpace (2007), and pre-classi ed by three assessors with kappa ((cid:4)) = 100%, i.e., the three assessors completely agreed with each other.","['preclassi', 'kappa', 'thelwall', 'fourth']","(0, [])","(0, [])"
from Pang (2007),The rst data set was downloaded from Pang (2007).,['rst'],"(0, [])","(0, [])"
in Bar-Ilan (1999),"The coverage issues are discussed in Bar-Ilan (2001) and Thelwall (2000), and the uctuation issue in Bar-Ilan (1999) and Mettrop and Nieuwenhuysen (2001).","['uctuation', 'nieuwenhuysen', 'barilan']","(0, [])","(0, [])"
in Bar-Ilan (2001),"The coverage issues are discussed in Bar-Ilan (2001) and Thelwall (2000), and the uctuation issue in Bar-Ilan (1999) and Mettrop and Nieuwenhuysen (2001).","['uctuation', 'nieuwenhuysen', 'barilan']","(0, [])","(0, [])"
in Conrad and Utt (1994),Two examples of the use of this method for measuring the strength of two terms association can be found in Conrad and Utt (1994) and Church and Hanks (1989).,['utt'],"(0, [])","(0, [])"
in Dumais and Chen (2000),As explained in Dumais and Chen (2000) and Pang et al.,[],"(0, [])","(0, [])"
in Lewis (1998),"Here, the independence of features is assumed, which is not always true, as explained in Lewis (1998) and Belew (2000).","['lewis', 'assumed']","(0, [])","(0, [])"
in Pang and Lee (2004),"These tasks analyse sentiment at a ne-grained level and can be used to improve the effectiveness of sentiment classi cation, as shown in Pang and Lee (2004).",['negrained'],"(0, [])","(0, [])"
in Turney (2002),"This focuses on exploiting a search engine corpus to determine the sentiment of an expression, as demonstrated in Turney (2002).",[],"(0, [])","(0, [])"
in Yang and Pedersen (1997),"The use of DF in the context of automatic classi cation can be found in Yang and Pedersen (1997) and Yang (1999). The (cid:2)2 calculation used in this experiment does not approximate the (cid:2)2 value, such as described in Yang and Pedersen (1997) and Swan and Allan (2000).","['automatic', 'such', 'cid']","(0, [])","(0, [])"
matter 2009,1751-1577/$ see front matter 2009 Elsevier Ltd. All rights reserved.,"['front', 'elsevier']","(0, [])","(0, [])"
"nig & Brill, 2006","These are Natural Language Processing (NLP) and pattern-based (Hiroshi et al., 2004; K nig & Brill, 2006; Nasukawa & Yi, 2003; Yi et al., 2003), machine learning algorithms, such as Naive Bayes (NB), Maximum Entropy (ME), Support Vector Machine (SVM) (Joachims, 1998), and unsupervised learning (Turney, 2002).","['such', 'unsupervised', 'naive', 'maximum', 'patternbased', 'natural']","(0, [])","(1, ['naive'])"
nig and Brill (2006),"Hybrid classi cation The idea of hybrid classi cation was used in K nig and Brill (2006). method Data set Tr Te Accuracy Precision Recall N/A 36,796 4084 77.5 N/A N/A F 1 N/A Customer feedback Ten-fold cross validation (1 vs 4) Ten-fold cross validation (1, 2 vs 3, 4) Ten-fold cross validation (3 point scale) Ten-fold cross validation (4-point scale) Ten-fold cross validation N/A 36,796 4084 69.5 N/A N/A N/A 5006 N/A N/A 66.3 N/A N/A N/A 5006 N/A N/A 54.6 N/A N/A N/A N/A 135 400 N/A 70.2 82.4 41.9 60.6 59.2 69.4 Ten-fold cross validation: polar/neutral Ten-fold cross validation: +/ /both/neutral 13,183 expressions 13,183 expressions N/A N/A 73.6 75.9 68.6 72.2/ 74.0 77.7 45.3 56.8/ 85.7 89.9 55.7 63.4/ 80.7 82.1 N/A N/A 61.7 65.7 1000( ) N/A 30,000 10,000 >91 <72 657adj(+) N/A N/A 78.1 92.4 N/A 55.3 63.4/ 64.7 72.9/ 28.4 35.2/ 50.1 52.4 N/A 59.3 69.4/ 80.4 83.9/ 9.2 11.2/ 30.2 41.4 N/A 61.2 65.1/ 73.1 77.2/ 14.6 16.1/ 37.7 46.2 N/A N/A N/A N/A N/A N/A K nig and Brill (2006) Assign docs sentiments Pattern-based, SVM, hybrid Movie reviews Five-fold cross validation 1000(+) N/A N/A Hatzivassiloglou and McKeown (1997) Assign adjectives +/ N/A Nonhierarchical clustering NB, ME, SVM Customer feedback WSJ corpus Five-fold cross validation N/A Movie reviews Three-fold cross validation Uniand bigrams Pang, Lee, and Vaithyanathan (2002) Turney (2002) Assign docs sentiments Assign docs sentiments Yi et al.","['svm', 'tenfold', 'point', 'cross', 'scale', 'fivefold', 'nonhierarchical', 'threefold', 'docs', 'polarneutral', 'validation', 'patternbased', 'mckeown', 'hybrid']","(0, [])","(0, [])"
reviews Kim and Hovy (2004),"(2004) Pang and Lee (2004) Assign topics sentiments Assign docs sentiments Unigrams NLP, pattern-based NB, SVM Camera reviews Movie reviews Kim and Hovy (2004) Assign expressions sentiments Probabilistic based DUC corpus Macro-averaged N/A 13,832(+) 25,910(+) 88.9 N/A N/A N/A N/A 200 4389( ) 2016(+) 2016( ) N/A 5664( ) 224(+) 224( ) N/A 85.8 89 100 N/A N/A Ten-fold cross validation Ten-fold cross validation 1000(+) N/A N/A 86.4 87.2 N/A 1000( ) N/A 231 adjectives 251 verbs N/A N/A 75.6 77.9 N/A N/A 100 sentences 79.1 81.2 81 N/A N/A N/A 43 N/A 97.8 93.2 N/A N/A N/A N/A N/A N/A N/A R .","['probabilistic', 'tenfold', 'docs', 'unigrams', 'nlp', 'macroaveraged', 'patternbased', 'lee']","(0, [])","(0, [])"
scale Model SVM Pang and Lee (2005),"Author Objectives N-gram Gamon (2004) Assign docs sentiments using 4-point scale Model SVM Pang and Lee (2005) Assign docs sentiments using 3or 4-point scale SVM, regression, metric labeling Movie reviews Choi et al.","['point', 'metric', 'gamon', 'ngram', 'lee']","(0, [])","(0, [])"
sentiments Nasukawa and Yi (2003),"(2003) Assign topics sentiments Nasukawa and Yi (2003) Assign topics sentiments N/A PMI-IR NLP, pattern-based NLP, pattern-based Automobile, bank, movie, travel reviews Digital camera, music reviews Petroleum, pharmaceutical Web pages Web pages Camera reviews N/A N/A N/A N/A N/A 679adj( ) 700(+) 700( ) 240(+) 170( ) 735(+) 4227( ) N/A N/A N/A 77 82.9 N/A N/A N/A N/A N/A 65.8 84 N/A N/A N/A N/A N/A 85.6 87 56 N/A N/A N/A 90 93 86 91 N/A N/A 118(+) N/A N/A 94.3 N/A 28.6 N/A 58( ) 255 N/A N/A 94.5 N/A 24 N/A 1 4 6 R .","['petroleum', 'digital', 'pmiir', 'nlp', 'patternbased', 'pharmaceutical']","(0, [])","(0, [])"
"vert, Lalmas, & Fuhr, 1999","In contrast, a SVM classi er, like other parametric approaches, such as Naive Bayes (G vert, Lalmas, & Fuhr, 1999), Rocchio (Ittner, Lewis, & Ahn, 1995), and Neural network (Yin and Savio, 1996) classi ers, regards a document collection as a set of signi cant features, each of which is assigned a weight, and each document is represented by a feature set.","['such', 'features', 'other', 'cant', 'parametric', 'naive', 'neural']","(0, [])","(1, ['naive'])"
Andrea Esuli and Fabrizio Sebastiani (2005),"Andrea Esuli and Fabrizio Sebastiani (2005) proposed semi-supervised learning method started from expanding an initial seed set using 2012, IJARCSSE All Rights Reserved Page | 285 Negation is a very common linguistic construction that affects polarity and therefore, needs to be taken into consideration in sentiment analysis.","['andrea', 'common', 'initial', 'semisupervised', 'linguistic']","(0, [])","(0, [])"
August 2014,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/265163299 Sentiment Analysis and Opinion Mining: A Survey Article June 2012 CITATIONS 469 2 authors: Vinodhini G Annamalai University 37 PUBLICATIONS 770 CITATIONS SEE PROFILE Some of the authors of this publication are also working on these related projects: Sentiment mining View project READS 16,505 Dr. RM Chandrasekaran Annamalai University 74 PUBLICATIONS 1,210 CITATIONS SEE PROFILE All content following this page was uploaded by Vinodhini G on 30 August 2014.","['httpswwwresearchgatenetpublication', 'discussions', 'august']","(0, [])","(0, [])"
"Bing Liu, 2005","Volume 2, Issue 6, June 2012 www.ijarcsse.com system shows the results in a graph format showing opinion of the product feature by feature (Bing Liu, 2005).",[],"(0, [])","(0, [])"
Chaovalit and Zhou (2005),Chaovalit and Zhou (2005) compared the Semantic Orientation approach with the N-gram model machine learning approach by applying to movie reviews.,"['ngram', 'semantic']","(0, [])","(0, [])"
"Chau & Xu, 2007","Bloggers record the daily events in their lives and express their opinions, feelings, and emotions in a blog (Chau & Xu, 2007).",['daily'],"(0, [])","(0, [])"
"Christopher Scaffidi, 2007","It scores each product based on features from the customer reviews (Christopher Scaffidi, 2007).",['christopher'],"(0, [])","(0, [])"
"Etzioni ,2005","Other than these the available are professional review sites such as www.dpreview.com , www.zdnet.com and consumer opinion sites on broad topics and products such as www .consumerreview.com, (Popescu& www.epinions.com, Etzioni ,2005 ; Hu,B.Liu ,2006 ; Qinliang Mia, 2009; Gamgaran Somprasertsi ,2010).","['such', 'www', 'other', 'etzioni', 'broad', 'professional', 'available']","(1, ['available'])","(0, [])"
"Gamgaran Somprasertsi ,2010","Other than these the available are professional review sites such as www.dpreview.com , www.zdnet.com and consumer opinion sites on broad topics and products such as www .consumerreview.com, (Popescu& www.epinions.com, Etzioni ,2005 ; Hu,B.Liu ,2006 ; Qinliang Mia, 2009; Gamgaran Somprasertsi ,2010).","['such', 'www', 'other', 'etzioni', 'broad', 'professional', 'available']","(1, ['available'])","(0, [])"
Gamgarn Somprasertsri (2010),Gamgarn Somprasertsri (2010) dedicated their work to properly identify the semantic relationships between product features and opinions.,['semantic'],"(0, [])","(0, [])"
Gang Li & Fei Liu (2010),Gang Li & Fei Liu (2010) developed an approach based on the k-means clustering algorithm.,[],"(0, [])","(0, [])"
"Hu, 2005","Hu s work in (Hu, 2005) can be considered as the pioneer work on feature-based opinion summarization.",['featurebased'],"(0, [])","(0, [])"
"Jian ,2010","Last section concludes our study and Jian ,2010 ; Pang and Lee ,2004; Bai et al.","['lee', 'last', 'jian']","(0, [])","(0, [])"
Jin-Cheon Na (2005),"Jin-Cheon Na (2005), reported a study in automatically classifying documents as expressing positive or negative.He investigated the use of simple linguistic processing to address the problems of negation phrase.","['simple', 'linguistic', 'negativehe', 'positive']","(1, ['positive'])","(0, [])"
June 2012,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/265163299 Sentiment Analysis and Opinion Mining: A Survey Article June 2012 CITATIONS 469 2 authors: Vinodhini G Annamalai University 37 PUBLICATIONS 770 CITATIONS SEE PROFILE Some of the authors of this publication are also working on these related projects: Sentiment mining View project READS 16,505 Dr. RM Chandrasekaran Annamalai University 74 PUBLICATIONS 1,210 CITATIONS SEE PROFILE All content following this page was uploaded by Vinodhini G on 30 August 2014. Volume 2, Issue 6, June 2012 ISSN: 2277 128X International Journal of Advanced Research in Computer Science and Software Engineering Research Paper Available online at: www.ijarcsse.com Sentiment Analysis and Opinion Mining: A Survey G.Vinodhini* Assistant Professor, Department of Computer Science and Engineering, Annamalai University, Annamalai Nagar-608002. Volume 2, Issue 6, June 2012 www.ijarcsse.com Electronics and Kitchen appliances, with 1000 positive sources used for opinion mining. Volume 2, Issue 6, June 2012 www.ijarcsse.com performance for sentiment classification. the naive Bayes classifier surprisingly Volume 2, Issue 6, June 2012 www.ijarcsse.com WordNet. Volume 2, Issue 6, June 2012 www.ijarcsse.com unsupervised information extraction system called shown that there are many other words that invert the OPINE, which extracted product features and opinions polarity of an opinion expressed, such as valence shifters, from reviews. Volume 2, Issue 6, June 2012 www.ijarcsse.com system shows the results in a graph format showing opinion of the product feature by feature (Bing Liu, 2005). Volume 2, Issue 6, June 2012 www.ijarcsse.com 6. Volume 2, Issue 6, June 2012 www.ijarcsse.com Table 1. Volume 2, Issue 6, June 2012 www.ijarcsse.com Table 1. Volume 2, Issue 6, June 2012 www.ijarcsse.com Competitive Intelligence , Decision Support Systems 50","['many', 'table', 'naive', 'online', 'liu', 'university', 'nagar', 'discussions', 'annamalai', 'positive', 'other', 'international', 'available', 'httpswwwresearchgatenetpublication', 'such', 'unsupervised', 'august', 'advanced', 'competitive']","(4, ['positive', 'available', 'advanced', 'competitive'])","(1, ['naive'])"
"Kaiquan Xu , 2011","Sentiment analysis find a major role in competitive intelligence (Kaiquan Xu , 2011) to extract and visualize comparative relations between products from customer reviews, with the interdependencies into consideration, to help enterprises discover potential risks and further design new products and marketing strategies.","['new', 'major', 'kaiquan', 'potential', 'comparative', 'discover', 'competitive']","(1, ['competitive'])","(0, [])"
"Kaiquan Xu, 2011","Multiple variants of SVM have been developed in which Multi class SVM is used for Sentiment classification (Kaiquan Xu, 2011).","['multiple', 'multi']","(0, [])","(0, [])"
Kamps et al (2004),Kamps et al (2004) focused on the use of lexical relations in sentiment classification.,['lexical'],"(0, [])","(0, [])"
Kennedy and Inkpen (2005),(2004) Kennedy and Inkpen (2005) evaluate a negation model which is fairly identical to the one proposed by Polanyi and Zaenen in document-level polarity classification.,"['inkpen', 'identical', 'documentlevel']","(0, [])","(0, [])"
"Kennedy and Inkpen ,2006","Kennedy and Inkpen ,2006; Zhou and Chaovalit ,2008; Yulan He 2010; Rudy Prabowo ,2009; Rui Xia ,2011).",['inkpen'],"(0, [])","(0, [])"
Khairullah Khan et al (2010),"Khairullah Khan et al (2010) developed a method to find features of product from user review in an efficient way from text through auxiliary verbs (AV) {is, was, are, the were, has, have, had}.","['auxiliary', 'efficient', 'user']","(1, ['efficient'])","(0, [])"
"Konig & Brill ,2006","The fifth section is about the performance Liu ,2006; Konig & Brill ,2006 ; Long Sheng ,2011; Zhu evaluation done.","['fifth', 'long']","(0, [])","(0, [])"
"Ku, Liang, and Chen (2006)","Ku, Liang, and Chen (2006) investigated both news and web blog articles.",[],"(0, [])","(0, [])"
"Liu ,2006","The fifth section is about the performance Liu ,2006; Konig & Brill ,2006 ; Long Sheng ,2011; Zhu evaluation done. Other than these the available are professional review sites such as www.dpreview.com , www.zdnet.com and consumer opinion sites on broad topics and products such as www .consumerreview.com, (Popescu& www.epinions.com, Etzioni ,2005 ; Hu,B.Liu ,2006 ; Qinliang Mia, 2009; Gamgaran Somprasertsi ,2010).","['long', 'such', 'www', 'other', 'fifth', 'etzioni', 'broad', 'professional', 'available']","(1, ['available'])","(0, [])"
"Long Sheng ,2011","The fifth section is about the performance Liu ,2006; Konig & Brill ,2006 ; Long Sheng ,2011; Zhu evaluation done.","['fifth', 'long']","(0, [])","(0, [])"
Long-Sheng Chen (2011),"Long-Sheng Chen (2011) proposed a neural network based approach, which combines the advantages of the machine learning techniques and the information retrieval techniques.","['neural', 'longsheng']","(0, [])","(0, [])"
"Martin, 2005","Blogs are used as a source of opinion in many of the studies related to sentiment analysis (Martin, 2005; Murphy, 2006; Tang et al., 2009).","['many', 'sentiment']","(0, [])","(0, [])"
"Melville et al., 2009","The Naive Bayes algorithm is widely used algorithm for document classification (Melville et al., 2009; Rui Xia, 2011; Ziqiong, 2011; Songho tan, 2008 2012, IJARCSSE All Rights Reserved Page | 283",['naive'],"(0, [])","(1, ['naive'])"
"Murphy, 2006","Blogs are used as a source of opinion in many of the studies related to sentiment analysis (Martin, 2005; Murphy, 2006; Tang et al., 2009).","['many', 'sentiment']","(0, [])","(0, [])"
Nan Li (2010),"Nan Li (2010) used sentiment analysis approach to provide a comprehensive and timely description of the interacting structural natural groupings of various forums, which will dynamically enable efficient detection of hotspot forums.","['structural', 'comprehensive', 'various', 'nan', 'natural', 'timely', 'efficient']","(3, ['comprehensive', 'timely', 'efficient'])","(0, [])"
"Pang and Lee ,2004","Last section concludes our study and Jian ,2010 ; Pang and Lee ,2004; Bai et al.","['lee', 'last', 'jian']","(0, [])","(0, [])"
Popescu et al (2005),"Popescu et al (2005) developed an Kunpeng Zhang (2009), proposed a work which used a keyword matching strategy to identify and tag product features in sentences.",[],"(0, [])","(0, [])"
"Qinliang Mia, 2009","Other than these the available are professional review sites such as www.dpreview.com , www.zdnet.com and consumer opinion sites on broad topics and products such as www .consumerreview.com, (Popescu& www.epinions.com, Etzioni ,2005 ; Hu,B.Liu ,2006 ; Qinliang Mia, 2009; Gamgaran Somprasertsi ,2010).","['such', 'www', 'other', 'etzioni', 'broad', 'professional', 'available']","(1, ['available'])","(0, [])"
"Rudy Prabowo ,2009","Kennedy and Inkpen ,2006; Zhou and Chaovalit ,2008; Yulan He 2010; Rudy Prabowo ,2009; Rui Xia ,2011).",['inkpen'],"(0, [])","(0, [])"
"Rudy Prabowo, 2009","Support vector machines (SVM), a discriminative classifier is considered the best text classification method (Rui Xia, 2011; Ziqiong, 2011; Songho tan, 2008 and Rudy Prabowo, 2009). Besides these classifiers other classifiers like ID3 and C5 are also investigated (Rudy Prabowo, 2009).","['other', 'discriminative', 'best', 'prabowo', 'text']","(1, ['best'])","(0, [])"
Rui Xia (2011),Rui Xia (2011) used this approach and made a comparative study of the effectiveness of technique for sentiment classification by ensemble efficiently sets and classification algorithms to synthesize a more accurate classification procedure.,"['accurate', 'comparative', 'ensemble']","(1, ['accurate'])","(0, [])"
"Rui Xia ,2011","Kennedy and Inkpen ,2006; Zhou and Chaovalit ,2008; Yulan He 2010; Rudy Prabowo ,2009; Rui Xia ,2011).",['inkpen'],"(0, [])","(0, [])"
"Rui Xia, 2011","The Naive Bayes algorithm is widely used algorithm for document classification (Melville et al., 2009; Rui Xia, 2011; Ziqiong, 2011; Songho tan, 2008 2012, IJARCSSE All Rights Reserved Page | 283 Support vector machines (SVM), a discriminative classifier is considered the best text classification method (Rui Xia, 2011; Ziqiong, 2011; Songho tan, 2008 and Rudy Prabowo, 2009).","['discriminative', 'text', 'naive', 'best']","(1, ['best'])","(1, ['naive'])"
Songbo Tan (2008),Songbo Tan (2008) presents an empirical study of sentiment categorization on Chinese documents.,"['chinese', 'empirical']","(0, [])","(0, [])"
Survey Article June 2012,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/265163299 Sentiment Analysis and Opinion Mining: A Survey Article June 2012 CITATIONS 469 2 authors: Vinodhini G Annamalai University 37 PUBLICATIONS 770 CITATIONS SEE PROFILE Some of the authors of this publication are also working on these related projects: Sentiment mining View project READS 16,505 Dr. RM Chandrasekaran Annamalai University 74 PUBLICATIONS 1,210 CITATIONS SEE PROFILE All content following this page was uploaded by Vinodhini G on 30 August 2014.","['httpswwwresearchgatenetpublication', 'discussions', 'august']","(0, [])","(0, [])"
"Tang et al., 2009","Blogs are used as a source of opinion in many of the studies related to sentiment analysis (Martin, 2005; Murphy, 2006; Tang et al., 2009).","['many', 'sentiment']","(0, [])","(0, [])"
